subjectNum	age	female	monthsSwitzerland	hasJob	familyInSudanNomads	goodOrFluentGerman	D	atLeastOneDaughter	atLeastOneSon
1	43	0	300	1	0	1	0.343142834	1	1
2	44	0	204	1	0	1	0.807990586	1	0
3	43	1	240	0	0	1	0.360030355	1	1
4	19	0	228	1	0	1	0.233542201	0	0
5	26	0	8	0	0	0	0.301230675	0	0
6	31	1	144	1	0	1	-0.263029383	0	1
7	60	0	264	1	0	1	0.227677651	1	1
8	18	1	216	1	0	1	0.210955118	0	0
9	58	1	216	1	0	1	0.803384101	0	0
10	50	0	180	1	0	1	0.709724321	0	0
11	34	1	96	0	0	1	0.625747644	0	1
12	37	0	96	1	0	1	0.125595186	0	1
13	35	1	96	0	0	0	1.090872077	0	1
14	40	0	264	1	0	1	-0.343435658	0	1
15	42	0	96	0	1	1	0.061967413	1	1
16	49	0	216	0	0	0	-0.233490599	1	0
17	45	0	120	0	0	1	0.04352896	0	0
18	38	0	120	1	0	1	-0.046848054	0	1
19	40	0	240	1	0	1	-0.06501485	0	1
20	54	1	252	1	0	1	0.213014962	1	1
21	42	0	36	0	0	0	0.595595762	1	1
22	28	0	11	0	1	0	1.176934454	0	0
23	28	0	9	0	1	0	0.170387604	0	1
24	25	0	16	1	0	0	0.784502673	0	0
25	32	0	9	0	0	0	0.281244839	0	0
26	24	0	11	0	0	0	0.377798674	0	0
27	31	0	24	1	0	1	0.43356304	0	0
28	29	0	48	1	0	1	0.650617916	0	0
29	35	0	60	0	1	0	0.455369276	0	0
30	36	0	36	0	0	1	-0.721604807	1	1
31	51	1	276	1	1	0	-1.128886029	0	1
32	33	1	108	0	0	1	0.380696566	1	1
33	30	1	132	0	0	1	0.396561151	1	1
34	27	1	18	0	0	0	0.667228854	1	0
35	31	1	108	1	0	1	0.081400038	1	1
36	31	1	72	0	0	0	0.55619016	1	1
37	43	1	72	0	0	0	0.93646977	1	1
38	42	1	300	1	0	0	0.196882955	1	1
39	47	0	288	1	0	1	0.551093965	1	1
40	38	1	108	0	0	1	0.511942917	1	0
41	31	1	72	0	0	1	0.581940887	1	1
42	52	0	276	1	0	1	0.585750967	1	1
43	82	0	660	0	0	1	-1.11247008	1	1
44	19	0	228	1	0	1	-0.30831668	0	0
45	18	0	216	0	0	1	-0.143017132	0	0
46	23	0	8	0	0	0	-0.598144677	0	0
47	22	0	12	0	0	0	-0.407568649	0	0
48	24	0	10	0	0	0	-0.399683703	0	0
49	25	0	36	0	0	1	-0.253058559	0	0
50	20	0	7	0	0	0	-0.028646738	0	0
51	53	0	264	1	1	1	0.401759405	1	1
52	42	1	192	0	0	1	0.807030051	1	1
53	43	1	144	0	0	0	0.401585611	1	1
54	56	0	324	1	0	1	0.522736018	1	1
55	35	0	7	1	1	0	0.307400141	0	0
56	42	0	240	1	0	1	0.668993846	0	1
57	31	0	36	0	0	0	-0.040332815	0	0
58	52	0	264	1	0	1	0.59650804	1	0
59	30	0	36	0	1	1	-0.566483232	0	0
60	50	0	204	1	0	1	0.435105745	1	1
61	26	0	2	0	0	0	0.40412701	0	0
62	45	0	168	1	0	1	0.41670285	1	0
63	35	0	180	1	0	1	0.665672048	0	0
64	30	1	60	0	0	0	-0.089613849	1	1
65	36	1	132	1	0	1	-0.121272218	1	1
66	21	1	36	0	0	0	0.479002489	1	0
67	22	1	264	0	0	0	-0.241537433	0	0
68	46	1	288	1	1	1	0.445513188	0	1
69	23	0	276	1	0	1	1.03014834	0	0
70	54	1	300	1	0	1	0.22068915	1	1
71	53	0	276	1	0	1	0.659452628	0	1
72	23	0	72	0	0	1	0.750238865	0	0
73	25	0	12	0	0	1	-0.576679591	0	0
74	47	0	240	1	0	1	0.030134266	1	0
75	25	0	2	0	1	0	-0.749077592	0	0
76	35	0	NA	0	NA	0	-0.636993326	NA	NA
77	22	0	36	1	0	1	-0.034107194	0	0
78	26	0	12	0	0	0	-0.412311156	0	0
79	25	0	72	1	0	1	0.328926396	0	0
80	20	0	12	1	0	0	-0.411037203	0	0
81	27	0	9	0	0	0	0.669785103	0	0
82	24	0	10	1	0	0	0.553196919	0	0
83	26	0	12	0	0	0	0.13217135	0	0
84	25	NA	12	0	0	0	-0.639721766	0	0
